time;state;goal
12,05;0,666667;1
12,06;0,666667;1
12,07;0,666667;1
12,08;0,666666;1
12,09;0,666666;1
12,1;0,666666;1
12,11;0,666666;1
12,12;0,666665;1
12,13;0,666665;1
12,14;0,666665;1
12,15;0,666665;1
12,16;0,666664;1
12,17;0,666664;1
12,18;0,666664;1
12,19;0,666664;1
12,2;0,666663;1
12,21;0,666663;1
12,22;0,666663;1
12,23;0,666663;1
12,24;0,666663;1
12,25;0,666662;1
12,26;0,666662;1
12,27;0,666662;1
12,28;0,666662;1
12,29;0,666662;1
12,3;0,666661;1
12,31;0,666661;1
12,32;0,666661;1
12,33;0,666661;1
12,34;0,666661;1
12,35;0,66666;1
12,36;0,66666;1
12,37;0,66666;1
12,38;0,66666;1
12,39;0,66666;1
12,4;0,66666;1
12,41;0,66666;1
12,42;0,66666;1
12,43;0,666659;1
12,44;0,666659;1
12,45;0,666659;1
12,46;0,666659;1
12,47;0,666659;1
12,48;0,666659;1
12,49;0,666659;1
12,5;0,666659;1
12,51;0,666659;1
12,52;0,666658;1
12,53;0,666658;1
12,54;0,666658;1
12,55;0,666658;1
12,56;0,666658;1
12,57;0,666658;1
12,58;0,666658;1
12,59;0,666658;1
12,6;0,666658;1
12,61;0,666658;1
12,62;0,666658;1
12,63;0,666658;1
12,64;0,666658;1
